date,pm2.5,temperature,pressure,humidity,wind_direction,wind_speed,aodfill,aod,weather
2017-02-01 00:00:00,5.916666666666668,-3.6,1035.3,24,38.0,3.5,0.037350997,0.037350997,Sunny/clear
2017-02-01 01:00:00,8.0,-2.3,1035.9,19,46.0,3.3,0.04652914633333334,0.0,Sunny/clear
2017-02-01 02:00:00,7.416666666666668,-0.9,1035.8,16,37.0,3.9,0.05570729566666667,0.0,Sunny/clear
2017-02-01 03:00:00,10.083333333333334,0.6,1036.0,15,49.0,2.5,0.064885445,0.064885445,Sunny/clear
2017-02-01 04:00:00,11.083333333333336,1.3,1035.3,14,30.0,2.4,0.06947641333333332,0.0,Sunny/clear
2017-02-01 05:00:00,12.166666666666664,2.3,1034.4,12,285.0,2.1,0.07406738166666668,0.0,Sunny/clear
2017-02-01 06:00:00,10.5,3.1,1033.3,12,332.0,1.7,0.07865835,0.07865835,Sunny/clear
2017-02-01 07:00:00,11.666666666666664,4.1,1033.0,11,261.0,2.3,0.07874973133333334,0.0,Sunny/clear
2017-02-01 08:00:00,17.833333333333332,4.1,1032.6,12,251.0,2.8,0.07884111266666667,0.0,Sunny/clear
2017-02-01 09:00:00,31.5,2.9,1032.4,14,228.0,2.5,0.078932494,0.078932494,Sunny/clear
2017-02-01 10:00:00,42.5,1.3,1032.4,18,243.0,2.6,0.08240060766666668,0.0,Sunny/clear
2017-02-01 11:00:00,59.75,-0.2,1032.5,21,239.0,1.8,0.08586872133333334,0.0,Sunny/clear
2017-02-01 12:00:00,83.33333333333333,-1.3,1032.0,24,233.0,1.7,0.089336835,0.089336835,Haze
2017-02-01 13:00:00,110.83333333333331,-2.2,1031.8,27,218.0,1.9,0.09148242333333334,0.0,Haze
2017-02-01 14:00:00,112.08333333333331,-3.1,1031.4,28,227.0,1.3,0.09362801166666668,0.0,Haze
2017-02-01 15:00:00,113.41666666666669,-4.5,1031.2,32,214.0,1.6,0.0957736,0.0957736,Haze
2017-02-01 16:00:00,111.5,-5.5,1031.2,33,216.0,1.2,0.10170913666666667,0.0,Haze
2017-02-01 18:00:00,95.0,-7.8,1030.7,41,218.0,1.2,0.11358021,0.11358021,Haze
2017-02-01 19:00:00,86.41666666666669,-8.4,1030.2,44,220.0,0.4,0.12433501333333336,0.0,Haze
2017-02-01 21:00:00,57.25,-9.4,1029.3,50,90.0,0.4,0.14584462,0.14584462,Haze
2017-02-01 22:00:00,48.66666666666666,-8.6,1028.9,49,62.0,1.2,0.15356286666666666,0.0,Haze
2017-02-01 23:00:00,41.91666666666666,-9.2,1029.0,52,79.0,0.9,0.16128111333333334,0.0,Haze
2017-02-02 00:00:00,35.5,-7.8,1029.3,47,69.0,1.1,0.16899936,0.16899936,Haze
2017-02-02 01:00:00,36.583333333333336,-3.1,1029.2,29,110.0,0.8,0.15500923666666666,0.0,Sunny/clear
2017-02-02 02:00:00,42.833333333333336,-1.2,1028.9,23,64.0,1.4,0.14101911333333333,0.0,Sunny/clear
2017-02-02 03:00:00,51.91666666666666,1.3,1028.3,19,58.0,1.4,0.12702899,0.12702899,Sunny/clear
2017-02-02 04:00:00,55.75,2.4,1027.0,16,94.0,1.6,0.13889329333333333,0.0,Sunny/clear
2017-02-02 05:00:00,57.75,3.5,1025.7,15,349.0,1.0,0.1507575966666667,0.0,Sunny/clear
2017-02-02 06:00:00,59.83333333333334,4.6,1024.5,16,230.0,2.7,0.1626219,0.1626219,Sunny/clear
2017-02-02 07:00:00,64.66666666666667,5.2,1023.6,17,248.0,1.7,0.17940864333333334,0.0,Sunny/clear
2017-02-02 08:00:00,71.66666666666667,5.1,1023.2,17,227.0,1.7,0.19619538666666667,0.0,Haze
2017-02-02 09:00:00,77.75,4.1,1023.2,20,232.0,1.4,0.21298213,0.21298213,Haze
2017-02-02 10:00:00,88.83333333333331,2.5,1023.3,23,221.0,1.7,0.2270289733333333,0.0,Haze
2017-02-02 11:00:00,107.41666666666669,0.8,1023.5,27,213.0,1.3,0.24107581666666664,0.0,Haze
2017-02-02 12:00:00,123.33333333333331,-1.2,1023.3,32,207.0,0.5,0.25512266,0.25512266,Haze
2017-02-02 13:00:00,145.25,-2.2,1023.2,36,210.0,0.7,0.2669133133333333,0.0,Haze
2017-02-02 14:00:00,150.16666666666666,-2.8,1022.9,39,204.0,0.6,0.27870396666666664,0.0,Haze
2017-02-02 15:00:00,154.0,-3.4,1022.6,41,270.0,0.6,0.29049462,0.29049462,Haze
2017-02-02 17:00:00,160.66666666666666,-4.4,1021.8,45,359.0,0.4,0.3107975533333333,0.0,Haze
2017-02-02 20:00:00,145.08333333333334,-6.0,1021.5,54,62.0,0.9,0.3484882066666667,0.0,Haze
2017-02-02 21:00:00,131.58333333333334,-5.7,1021.1,56,63.0,1.3,0.3622578,0.3622578,Haze
2017-02-02 22:00:00,105.58333333333331,-5.7,1021.3,52,88.0,1.2,0.3646369233333333,0.0,Haze
2017-02-02 23:00:00,90.0,-5.1,1021.5,47,66.0,1.3,0.36701604666666665,0.0,Haze
2017-02-03 00:00:00,85.41666666666667,-4.6,1021.9,45,80.0,1.2,0.36939517,0.36939517,Haze
2017-02-03 01:00:00,93.08333333333331,-2.5,1021.8,41,75.0,0.9,0.3173989566666667,0.0,Haze
2017-02-03 02:00:00,87.83333333333331,0.3,1021.4,28,41.0,1.2,0.26540274333333336,0.0,Haze
2017-02-03 03:00:00,84.83333333333333,2.4,1020.8,23,38.0,1.3,0.21340653,0.21340653,Haze
2017-02-03 04:00:00,97.66666666666669,4.2,1019.7,22,206.0,0.9,0.24895272,0.0,Haze
2017-02-03 05:00:00,118.91666666666669,5.1,1018.5,22,156.0,1.2,0.28449891,0.0,Haze
2017-02-03 06:00:00,130.5,5.9,1017.4,24,65.0,1.0,0.3200451,0.3200451,Haze
2017-02-03 07:00:00,150.83333333333334,6.0,1017.1,26,214.0,1.4,0.3377883666666667,0.0,Haze
2017-02-03 08:00:00,192.16666666666663,6.2,1016.6,27,197.0,1.2,0.3555316333333334,0.0,Haze
2017-02-03 09:00:00,225.8333333333333,5.2,1016.7,31,204.0,1.2,0.3732749,0.3732749,Haze
2017-02-03 10:00:00,244.5833333333333,4.0,1017.0,38,185.0,1.3,0.4111788133333334,0.0,Haze
2017-02-03 11:00:00,231.25,1.9,1017.3,44,216.0,1.3,0.4490827266666667,0.0,Haze
2017-02-03 12:00:00,276.0833333333333,1.0,1017.4,48,202.0,1.0,0.48698664,0.48698664,Haze
2017-02-03 13:00:00,299.25,-0.9,1017.2,53,84.0,0.4,0.5434883933333333,0.0,Haze
2017-02-03 16:00:00,283.25,-0.5,1017.1,58,52.0,0.8,0.7216626,0.0,Haze
2017-02-03 17:00:00,292.75,0.1,1016.5,62,171.0,1.5,0.7868333000000001,0.0,Haze
2017-02-03 18:00:00,286.9166666666667,0.8,1016.2,63,234.0,1.1,0.8520040000000001,0.8520040000000001,Haze
2017-02-03 19:00:00,291.0833333333333,0.6,1016.0,65,212.0,1.1,0.9155163,0.0,Haze
2017-02-03 20:00:00,295.5833333333333,0.3,1015.5,66,74.0,0.4,0.9790286,0.0,Haze
2017-02-03 21:00:00,298.8333333333333,-0.2,1015.2,69,203.0,0.4,1.0425409,1.0425409,Haze
2017-02-03 22:00:00,302.5833333333333,-0.1,1015.1,70,220.0,0.9,1.0112329333333332,0.0,Haze
2017-02-03 23:00:00,305.0833333333333,-0.8,1015.3,72,138.0,0.7,0.9799249666666666,0.0,Haze
2017-02-04 00:00:00,308.4166666666667,-1.0,1015.8,76,226.0,0.7,0.948617,0.948617,Haze
2017-02-04 01:00:00,298.9166666666667,-1.4,1016.0,80,172.0,0.5,0.7890857866666666,0.0,Haze
2017-02-04 03:00:00,292.25,3.9,1015.3,45,108.0,1.5,0.47002336,0.47002336,Haze
2017-02-04 04:00:00,281.1666666666667,5.7,1014.6,41,223.0,0.9,0.41678335,0.0,Haze
2017-02-04 05:00:00,312.25,6.0,1013.3,45,206.0,1.6,0.36354334,0.0,Haze
2017-02-04 06:00:00,280.4166666666667,6.7,1012.3,43,206.0,2.2,0.31030333,0.31030333,Haze
